year,level_1,level_2,value
1961,All Items,Food,21.522
1961,All Items,Food Excl Food Serving Services,na
1961,All Items,Food Serving Services,na
1961,All Items,Clothing & Footwear,53.847
1961,All Items,Housing & Utilities,26.688
1961,All Items,Household Durables & Services,32.11
1961,All Items,Health Care,18.604
1961,All Items,Transport,20.537
1961,All Items,Communication,89.155
1961,All Items,Recreation & Culture,49.124
1961,All Items,Education,14.874
1961,All Items,Miscellaneous Goods & Services,18.833
1962,All Items,Food,21.674
1962,All Items,Food Excl Food Serving Services,na
1962,All Items,Food Serving Services,na
1962,All Items,Clothing & Footwear,53.59
1962,All Items,Housing & Utilities,26.849
1962,All Items,Household Durables & Services,32.154
1962,All Items,Health Care,18.612
1962,All Items,Transport,20.522
1962,All Items,Communication,89.155
1962,All Items,Recreation & Culture,49.124
1962,All Items,Education,14.93
1962,All Items,Miscellaneous Goods & Services,18.826
1963,All Items,Food,22.468
1963,All Items,Food Excl Food Serving Services,na
1963,All Items,Food Serving Services,na
1963,All Items,Clothing & Footwear,53.415
1963,All Items,Housing & Utilities,26.907
1963,All Items,Household Durables & Services,31.498
1963,All Items,Health Care,18.604
1963,All Items,Transport,20.539
1963,All Items,Communication,89.155
1963,All Items,Recreation & Culture,49.077
1963,All Items,Education,15.412
1963,All Items,Miscellaneous Goods & Services,18.823
1964,All Items,Food,23.034
1964,All Items,Food Excl Food Serving Services,na
1964,All Items,Food Serving Services,na
1964,All Items,Clothing & Footwear,53.723
1964,All Items,Housing & Utilities,27.401
1964,All Items,Household Durables & Services,31.574
1964,All Items,Health Care,18.604
1964,All Items,Transport,20.608
1964,All Items,Communication,96.585
1964,All Items,Recreation & Culture,49.124
1964,All Items,Education,15.578
1964,All Items,Miscellaneous Goods & Services,18.586
1965,All Items,Food,22.926
1965,All Items,Food Excl Food Serving Services,na
1965,All Items,Food Serving Services,na
1965,All Items,Clothing & Footwear,54.39
1965,All Items,Housing & Utilities,27.908
1965,All Items,Household Durables & Services,32.343
1965,All Items,Health Care,18.604
1965,All Items,Transport,20.608
1965,All Items,Communication,133.733
1965,All Items,Recreation & Culture,49.124
1965,All Items,Education,15.218
1965,All Items,Miscellaneous Goods & Services,18.91
1966,All Items,Food,23.565
1966,All Items,Food Excl Food Serving Services,na
1966,All Items,Food Serving Services,na
1966,All Items,Clothing & Footwear,55.315
1966,All Items,Housing & Utilities,27.748
1966,All Items,Household Durables & Services,34.577
1966,All Items,Health Care,18.604
1966,All Items,Transport,20.612
1966,All Items,Communication,133.733
1966,All Items,Recreation & Culture,49.124
1966,All Items,Education,15.701
1966,All Items,Miscellaneous Goods & Services,19.204
1967,All Items,Food,24.68
1967,All Items,Food Excl Food Serving Services,na
1967,All Items,Food Serving Services,na
1967,All Items,Clothing & Footwear,55.424
1967,All Items,Housing & Utilities,28.445
1967,All Items,Household Durables & Services,36.767
1967,All Items,Health Care,18.604
1967,All Items,Transport,20.632
1967,All Items,Communication,133.733
1967,All Items,Recreation & Culture,49.124
1967,All Items,Education,15.42
1967,All Items,Miscellaneous Goods & Services,19.29
1968,All Items,Food,24.725
1968,All Items,Food Excl Food Serving Services,na
1968,All Items,Food Serving Services,na
1968,All Items,Clothing & Footwear,55.737
1968,All Items,Housing & Utilities,28.789
1968,All Items,Household Durables & Services,37.507
1968,All Items,Health Care,18.881
1968,All Items,Transport,20.632
1968,All Items,Communication,133.733
1968,All Items,Recreation & Culture,49.124
1968,All Items,Education,15.179
1968,All Items,Miscellaneous Goods & Services,19.993
1969,All Items,Food,24.25
1969,All Items,Food Excl Food Serving Services,na
1969,All Items,Food Serving Services,na
1969,All Items,Clothing & Footwear,56.929
1969,All Items,Housing & Utilities,29.432
1969,All Items,Household Durables & Services,37.335
1969,All Items,Health Care,20.454
1969,All Items,Transport,20.675
1969,All Items,Communication,133.733
1969,All Items,Recreation & Culture,49.124
1969,All Items,Education,15.499
1969,All Items,Miscellaneous Goods & Services,20.683
1970,All Items,Food,24.129
1970,All Items,Food Excl Food Serving Services,na
1970,All Items,Food Serving Services,na
1970,All Items,Clothing & Footwear,57.222
1970,All Items,Housing & Utilities,29.648
1970,All Items,Household Durables & Services,38.014
1970,All Items,Health Care,20.454
1970,All Items,Transport,20.652
1970,All Items,Communication,133.733
1970,All Items,Recreation & Culture,49.124
1970,All Items,Education,15.82
1970,All Items,Miscellaneous Goods & Services,21.47
1971,All Items,Food,24.681
1971,All Items,Food Excl Food Serving Services,na
1971,All Items,Food Serving Services,na
1971,All Items,Clothing & Footwear,58.774
1971,All Items,Housing & Utilities,30.312
1971,All Items,Household Durables & Services,38.384
1971,All Items,Health Care,20.417
1971,All Items,Transport,20.648
1971,All Items,Communication,133.733
1971,All Items,Recreation & Culture,50.421
1971,All Items,Education,15.632
1971,All Items,Miscellaneous Goods & Services,21.607
1972,All Items,Food,25.286
1972,All Items,Food Excl Food Serving Services,na
1972,All Items,Food Serving Services,na
1972,All Items,Clothing & Footwear,59.849
1972,All Items,Housing & Utilities,30.791
1972,All Items,Household Durables & Services,38.773
1972,All Items,Health Care,20.167
1972,All Items,Transport,20.655
1972,All Items,Communication,133.733
1972,All Items,Recreation & Culture,50.616
1972,All Items,Education,15.692
1972,All Items,Miscellaneous Goods & Services,22.362
1973,All Items,Food,33.829
1973,All Items,Food Excl Food Serving Services,na
1973,All Items,Food Serving Services,na
1973,All Items,Clothing & Footwear,69.726
1973,All Items,Housing & Utilities,31.854
1973,All Items,Household Durables & Services,44.184
1973,All Items,Health Care,20.739
1973,All Items,Transport,20.742
1973,All Items,Communication,133.733
1973,All Items,Recreation & Culture,51.544
1973,All Items,Education,16.152
1973,All Items,Miscellaneous Goods & Services,24.676
1974,All Items,Food,42.481
1974,All Items,Food Excl Food Serving Services,na
1974,All Items,Food Serving Services,na
1974,All Items,Clothing & Footwear,76.778
1974,All Items,Housing & Utilities,36.361
1974,All Items,Household Durables & Services,55.399
1974,All Items,Health Care,24.341
1974,All Items,Transport,29.12
1974,All Items,Communication,133.733
1974,All Items,Recreation & Culture,55.754
1974,All Items,Education,16.919
1974,All Items,Miscellaneous Goods & Services,28.354
1975,All Items,Food,42.929
1975,All Items,Food Excl Food Serving Services,na
1975,All Items,Food Serving Services,na
1975,All Items,Clothing & Footwear,75.768
1975,All Items,Housing & Utilities,38.923
1975,All Items,Household Durables & Services,57.854
1975,All Items,Health Care,25.926
1975,All Items,Transport,30.354
1975,All Items,Communication,133.733
1975,All Items,Recreation & Culture,56.304
1975,All Items,Education,17.269
1975,All Items,Miscellaneous Goods & Services,30.596
1976,All Items,Food,40.275
1976,All Items,Food Excl Food Serving Services,na
1976,All Items,Food Serving Services,na
1976,All Items,Clothing & Footwear,76.288
1976,All Items,Housing & Utilities,41.541
1976,All Items,Household Durables & Services,57.343
1976,All Items,Health Care,26.625
1976,All Items,Transport,31.662
1976,All Items,Communication,133.733
1976,All Items,Recreation & Culture,56.407
1976,All Items,Education,17.418
1976,All Items,Miscellaneous Goods & Services,31.313
1977,All Items,Food,42.295
1977,All Items,Food Excl Food Serving Services,na
1977,All Items,Food Serving Services,na
1977,All Items,Clothing & Footwear,77.418
1977,All Items,Housing & Utilities,42.009
1977,All Items,Household Durables & Services,58.486
1977,All Items,Health Care,27.051
1977,All Items,Transport,31.851
1977,All Items,Communication,133.733
1977,All Items,Recreation & Culture,56.399
1977,All Items,Education,17.751
1977,All Items,Miscellaneous Goods & Services,32.032
1978,All Items,Food,44.696
1978,All Items,Food Excl Food Serving Services,na
1978,All Items,Food Serving Services,na
1978,All Items,Clothing & Footwear,78.886
1978,All Items,Housing & Utilities,41.998
1978,All Items,Household Durables & Services,59.579
1978,All Items,Health Care,28.204
1978,All Items,Transport,33.54
1978,All Items,Communication,137.824
1978,All Items,Recreation & Culture,60.518
1978,All Items,Education,18.685
1978,All Items,Miscellaneous Goods & Services,33.142
1979,All Items,Food,45.815
1979,All Items,Food Excl Food Serving Services,na
1979,All Items,Food Serving Services,na
1979,All Items,Clothing & Footwear,81.671
1979,All Items,Housing & Utilities,44.134
1979,All Items,Household Durables & Services,62.184
1979,All Items,Health Care,29.245
1979,All Items,Transport,36.872
1979,All Items,Communication,139.199
1979,All Items,Recreation & Culture,63.459
1979,All Items,Education,19.506
1979,All Items,Miscellaneous Goods & Services,33.59
1980,All Items,Food,49.687
1980,All Items,Food Excl Food Serving Services,na
1980,All Items,Food Serving Services,na
1980,All Items,Clothing & Footwear,83.202
1980,All Items,Housing & Utilities,50.156
1980,All Items,Household Durables & Services,65.815
1980,All Items,Health Care,31.315
1980,All Items,Transport,42.146
1980,All Items,Communication,139.199
1980,All Items,Recreation & Culture,65.411
1980,All Items,Education,21.133
1980,All Items,Miscellaneous Goods & Services,36.505
1981,All Items,Food,54.563
1981,All Items,Food Excl Food Serving Services,na
1981,All Items,Food Serving Services,na
1981,All Items,Clothing & Footwear,84.703
1981,All Items,Housing & Utilities,52.79
1981,All Items,Household Durables & Services,68.291
1981,All Items,Health Care,33.277
1981,All Items,Transport,46.887
1981,All Items,Communication,139.199
1981,All Items,Recreation & Culture,71.243
1981,All Items,Education,22.489
1981,All Items,Miscellaneous Goods & Services,39.245
1982,All Items,Food,57.247
1982,All Items,Food Excl Food Serving Services,na
1982,All Items,Food Serving Services,na
1982,All Items,Clothing & Footwear,85.067
1982,All Items,Housing & Utilities,54.741
1982,All Items,Household Durables & Services,69.64
1982,All Items,Health Care,35.044
1982,All Items,Transport,48.178
1982,All Items,Communication,139.199
1982,All Items,Recreation & Culture,72.079
1982,All Items,Education,22.9
1982,All Items,Miscellaneous Goods & Services,41.335
1983,All Items,Food,57.352
1983,All Items,Food Excl Food Serving Services,na
1983,All Items,Food Serving Services,na
1983,All Items,Clothing & Footwear,85.02
1983,All Items,Housing & Utilities,55.202
1983,All Items,Household Durables & Services,70.402
1983,All Items,Health Care,37.824
1983,All Items,Transport,48.739
1983,All Items,Communication,139.199
1983,All Items,Recreation & Culture,72.242
1983,All Items,Education,23.578
1983,All Items,Miscellaneous Goods & Services,43.427
1984,All Items,Food,58.227
1984,All Items,Food Excl Food Serving Services,na
1984,All Items,Food Serving Services,na
1984,All Items,Clothing & Footwear,84.674
1984,All Items,Housing & Utilities,57.137
1984,All Items,Household Durables & Services,70.492
1984,All Items,Health Care,42.312
1984,All Items,Transport,50.863
1984,All Items,Communication,139.199
1984,All Items,Recreation & Culture,72.938
1984,All Items,Education,24.83
1984,All Items,Miscellaneous Goods & Services,46.786
1985,All Items,Food,57.541
1985,All Items,Food Excl Food Serving Services,na
1985,All Items,Food Serving Services,na
1985,All Items,Clothing & Footwear,82.532
1985,All Items,Housing & Utilities,59.136
1985,All Items,Household Durables & Services,70.68
1985,All Items,Health Care,42.909
1985,All Items,Transport,53.6
1985,All Items,Communication,122.184
1985,All Items,Recreation & Culture,72.897
1985,All Items,Education,25.647
1985,All Items,Miscellaneous Goods & Services,47.563
1986,All Items,Food,56.684
1986,All Items,Food Excl Food Serving Services,na
1986,All Items,Food Serving Services,na
1986,All Items,Clothing & Footwear,80.644
1986,All Items,Housing & Utilities,57.788
1986,All Items,Household Durables & Services,70.768
1986,All Items,Health Care,42.755
1986,All Items,Transport,51.612
1986,All Items,Communication,116.512
1986,All Items,Recreation & Culture,73.6
1986,All Items,Education,27.459
1986,All Items,Miscellaneous Goods & Services,47.754
1987,All Items,Food,56.595
1987,All Items,Food Excl Food Serving Services,na
1987,All Items,Food Serving Services,na
1987,All Items,Clothing & Footwear,80.951
1987,All Items,Housing & Utilities,56.905
1987,All Items,Household Durables & Services,71.2
1987,All Items,Health Care,43.247
1987,All Items,Transport,52.2
1987,All Items,Communication,116.846
1987,All Items,Recreation & Culture,74.461
1987,All Items,Education,28.268
1987,All Items,Miscellaneous Goods & Services,50.329
1988,All Items,Food,57.382
1988,All Items,Food Excl Food Serving Services,na
1988,All Items,Food Serving Services,na
1988,All Items,Clothing & Footwear,83.712
1988,All Items,Housing & Utilities,56.9
1988,All Items,Household Durables & Services,72.102
1988,All Items,Health Care,44.16
1988,All Items,Transport,52.737
1988,All Items,Communication,116.846
1988,All Items,Recreation & Culture,76.565
1988,All Items,Education,30.216
1988,All Items,Miscellaneous Goods & Services,51.188
1989,All Items,Food,58.039
1989,All Items,Food Excl Food Serving Services,na
1989,All Items,Food Serving Services,na
1989,All Items,Clothing & Footwear,85.249
1989,All Items,Housing & Utilities,57.913
1989,All Items,Household Durables & Services,73.265
1989,All Items,Health Care,45.163
1989,All Items,Transport,55.494
1989,All Items,Communication,122.449
1989,All Items,Recreation & Culture,78.596
1989,All Items,Education,31.843
1989,All Items,Miscellaneous Goods & Services,52.867
1990,All Items,Food,58.489
1990,All Items,Food Excl Food Serving Services,58.259
1990,All Items,Food Serving Services,58.218
1990,All Items,Clothing & Footwear,85.986
1990,All Items,Housing & Utilities,62.102
1990,All Items,Household Durables & Services,75.765
1990,All Items,Health Care,47.407
1990,All Items,Transport,60.144
1990,All Items,Communication,125.254
1990,All Items,Recreation & Culture,80.047
1990,All Items,Education,34.469
1990,All Items,Miscellaneous Goods & Services,54.662
1991,All Items,Food,59.412
1991,All Items,Food Excl Food Serving Services,58.934
1991,All Items,Food Serving Services,59.385
1991,All Items,Clothing & Footwear,87.501
1991,All Items,Housing & Utilities,63.528
1991,All Items,Household Durables & Services,76.266
1991,All Items,Health Care,51.246
1991,All Items,Transport,64.685
1991,All Items,Communication,126.205
1991,All Items,Recreation & Culture,83.199
1991,All Items,Education,38.204
1991,All Items,Miscellaneous Goods & Services,58.074
1992,All Items,Food,60.127
1992,All Items,Food Excl Food Serving Services,59.549
1992,All Items,Food Serving Services,60.195
1992,All Items,Clothing & Footwear,89.624
1992,All Items,Housing & Utilities,65.162
1992,All Items,Household Durables & Services,78.07
1992,All Items,Health Care,52.517
1992,All Items,Transport,66.741
1992,All Items,Communication,126.205
1992,All Items,Recreation & Culture,85.163
1992,All Items,Education,40.691
1992,All Items,Miscellaneous Goods & Services,60.027
1993,All Items,Food,60.707
1993,All Items,Food Excl Food Serving Services,59.548
1993,All Items,Food Serving Services,61.353
1993,All Items,Clothing & Footwear,90.824
1993,All Items,Housing & Utilities,67.547
1993,All Items,Household Durables & Services,79.315
1993,All Items,Health Care,54.229
1993,All Items,Transport,68.75
1993,All Items,Communication,125.22
1993,All Items,Recreation & Culture,86.696
1993,All Items,Education,42.421
1993,All Items,Miscellaneous Goods & Services,64.044
1994,All Items,Food,62.855
1994,All Items,Food Excl Food Serving Services,61.41
1994,All Items,Food Serving Services,63.761
1994,All Items,Clothing & Footwear,92.928
1994,All Items,Housing & Utilities,68.477
1994,All Items,Household Durables & Services,80.056
1994,All Items,Health Care,55.748
1994,All Items,Transport,73.989
1994,All Items,Communication,125.369
1994,All Items,Recreation & Culture,87.776
1994,All Items,Education,43.789
1994,All Items,Miscellaneous Goods & Services,65.856
1995,All Items,Food,64.301
1995,All Items,Food Excl Food Serving Services,62.335
1995,All Items,Food Serving Services,65.696
1995,All Items,Clothing & Footwear,94.326
1995,All Items,Housing & Utilities,69.148
1995,All Items,Household Durables & Services,83.769
1995,All Items,Health Care,56.566
1995,All Items,Transport,74.727
1995,All Items,Communication,122.336
1995,All Items,Recreation & Culture,88.65
1995,All Items,Education,45.561
1995,All Items,Miscellaneous Goods & Services,66.743
1996,All Items,Food,65.659
1996,All Items,Food Excl Food Serving Services,63.369
1996,All Items,Food Serving Services,67.355
1996,All Items,Clothing & Footwear,94.868
1996,All Items,Housing & Utilities,69.791
1996,All Items,Household Durables & Services,84.266
1996,All Items,Health Care,57.666
1996,All Items,Transport,75.093
1996,All Items,Communication,121.615
1996,All Items,Recreation & Culture,89.727
1996,All Items,Education,47.624
1996,All Items,Miscellaneous Goods & Services,67.647
1997,All Items,Food,66.993
1997,All Items,Food Excl Food Serving Services,64.89
1997,All Items,Food Serving Services,68.5
1997,All Items,Clothing & Footwear,95.675
1997,All Items,Housing & Utilities,71.833
1997,All Items,Household Durables & Services,84.138
1997,All Items,Health Care,59.531
1997,All Items,Transport,78.553
1997,All Items,Communication,118.842
1997,All Items,Recreation & Culture,88.87
1997,All Items,Education,48.951
1997,All Items,Miscellaneous Goods & Services,68.544
1998,All Items,Food,67.156
1998,All Items,Food Excl Food Serving Services,64.213
1998,All Items,Food Serving Services,69.453
1998,All Items,Clothing & Footwear,94.36
1998,All Items,Housing & Utilities,73.68
1998,All Items,Household Durables & Services,84.445
1998,All Items,Health Care,61.722
1998,All Items,Transport,74.551
1998,All Items,Communication,114.494
1998,All Items,Recreation & Culture,85.576
1998,All Items,Education,51.396
1998,All Items,Miscellaneous Goods & Services,69.713
1999,All Items,Food,67.74
1999,All Items,Food Excl Food Serving Services,65.002
1999,All Items,Food Serving Services,69.864
1999,All Items,Clothing & Footwear,92.519
1999,All Items,Housing & Utilities,72.747
1999,All Items,Household Durables & Services,84.393
1999,All Items,Health Care,61.883
1999,All Items,Transport,74.301
1999,All Items,Communication,112.965
1999,All Items,Recreation & Culture,84.835
1999,All Items,Education,53.581
1999,All Items,Miscellaneous Goods & Services,70.752
2000,All Items,Food,68.101
2000,All Items,Food Excl Food Serving Services,65.329
2000,All Items,Food Serving Services,70.252
2000,All Items,Clothing & Footwear,91.668
2000,All Items,Housing & Utilities,74.792
2000,All Items,Household Durables & Services,83.93
2000,All Items,Health Care,62.534
2000,All Items,Transport,76.945
2000,All Items,Communication,109.492
2000,All Items,Recreation & Culture,85.603
2000,All Items,Education,54.993
2000,All Items,Miscellaneous Goods & Services,72.023
2001,All Items,Food,68.44
2001,All Items,Food Excl Food Serving Services,65.056
2001,All Items,Food Serving Services,71.105
2001,All Items,Clothing & Footwear,92.006
2001,All Items,Housing & Utilities,76.234
2001,All Items,Household Durables & Services,83.56
2001,All Items,Health Care,64.34
2001,All Items,Transport,76.104
2001,All Items,Communication,106.95
2001,All Items,Recreation & Culture,87.791
2001,All Items,Education,57.141
2001,All Items,Miscellaneous Goods & Services,74.459
2002,All Items,Food,68.459
2002,All Items,Food Excl Food Serving Services,64.338
2002,All Items,Food Serving Services,71.746
2002,All Items,Clothing & Footwear,92.424
2002,All Items,Housing & Utilities,74.558
2002,All Items,Household Durables & Services,82.9
2002,All Items,Health Care,66.245
2002,All Items,Transport,75.24
2002,All Items,Communication,106.71
2002,All Items,Recreation & Culture,87.881
2002,All Items,Education,58.464
2002,All Items,Miscellaneous Goods & Services,74.193
2003,All Items,Food,68.867
2003,All Items,Food Excl Food Serving Services,64.738
2003,All Items,Food Serving Services,72.16
2003,All Items,Clothing & Footwear,92.935
2003,All Items,Housing & Utilities,74.307
2003,All Items,Household Durables & Services,82.506
2003,All Items,Health Care,67.499
2003,All Items,Transport,75.096
2003,All Items,Communication,108.136
2003,All Items,Recreation & Culture,86.388
2003,All Items,Education,60.425
2003,All Items,Miscellaneous Goods & Services,77.989
2004,All Items,Food,70.255
2004,All Items,Food Excl Food Serving Services,66.829
2004,All Items,Food Serving Services,72.952
2004,All Items,Clothing & Footwear,93.098
2004,All Items,Housing & Utilities,74.232
2004,All Items,Household Durables & Services,81.859
2004,All Items,Health Care,71.255
2004,All Items,Transport,76.202
2004,All Items,Communication,108.12
2004,All Items,Recreation & Culture,87.616
2004,All Items,Education,62.626
2004,All Items,Miscellaneous Goods & Services,83.053
2005,All Items,Food,71.159
2005,All Items,Food Excl Food Serving Services,68.193
2005,All Items,Food Serving Services,73.484
2005,All Items,Clothing & Footwear,93.224
2005,All Items,Housing & Utilities,75.17
2005,All Items,Household Durables & Services,79.355
2005,All Items,Health Care,71.616
2005,All Items,Transport,74.312
2005,All Items,Communication,106.886
2005,All Items,Recreation & Culture,88.643
2005,All Items,Education,64.622
2005,All Items,Miscellaneous Goods & Services,86.721
2006,All Items,Food,72.261
2006,All Items,Food Excl Food Serving Services,69.529
2006,All Items,Food Serving Services,74.396
2006,All Items,Clothing & Footwear,93.919
2006,All Items,Housing & Utilities,77.639
2006,All Items,Household Durables & Services,78.856
2006,All Items,Health Care,72.256
2006,All Items,Transport,73.105
2006,All Items,Communication,105.858
2006,All Items,Recreation & Culture,88.076
2006,All Items,Education,66.652
2006,All Items,Miscellaneous Goods & Services,88.857
2007,All Items,Food,74.401
2007,All Items,Food Excl Food Serving Services,72.336
2007,All Items,Food Serving Services,75.985
2007,All Items,Clothing & Footwear,94.547
2007,All Items,Housing & Utilities,77.819
2007,All Items,Household Durables & Services,79.154
2007,All Items,Health Care,75.18
2007,All Items,Transport,74.974
2007,All Items,Communication,106.682
2007,All Items,Recreation & Culture,90.804
2007,All Items,Education,68.469
2007,All Items,Miscellaneous Goods & Services,90.848
2008,All Items,Food,80.154
2008,All Items,Food Excl Food Serving Services,79.365
2008,All Items,Food Serving Services,80.713
2008,All Items,Clothing & Footwear,95.943
2008,All Items,Housing & Utilities,89.48
2008,All Items,Household Durables & Services,81
2008,All Items,Health Care,79.275
2008,All Items,Transport,78.081
2008,All Items,Communication,106.864
2008,All Items,Recreation & Culture,94.215
2008,All Items,Education,71.667
2008,All Items,Miscellaneous Goods & Services,92.64
2009,All Items,Food,81.972
2009,All Items,Food Excl Food Serving Services,81.368
2009,All Items,Food Serving Services,82.417
2009,All Items,Clothing & Footwear,96.839
2009,All Items,Housing & Utilities,91.254
2009,All Items,Household Durables & Services,81.896
2009,All Items,Health Care,80.712
2009,All Items,Transport,75.663
2009,All Items,Communication,107.123
2009,All Items,Recreation & Culture,93.026
2009,All Items,Education,72.206
2009,All Items,Miscellaneous Goods & Services,92.913
2010,All Items,Food,83.085
2010,All Items,Food Excl Food Serving Services,83.269
2010,All Items,Food Serving Services,83.04
2010,All Items,Clothing & Footwear,97.37
2010,All Items,Housing & Utilities,93.299
2010,All Items,Household Durables & Services,82.745
2010,All Items,Health Care,82.17
2010,All Items,Transport,83.459
2010,All Items,Communication,104.736
2010,All Items,Recreation & Culture,93.926
2010,All Items,Education,74.663
2010,All Items,Miscellaneous Goods & Services,93.523
2011,All Items,Food,85.618
2011,All Items,Food Excl Food Serving Services,86.233
2011,All Items,Food Serving Services,85.306
2011,All Items,Clothing & Footwear,97.502
2011,All Items,Housing & Utilities,101.694
2011,All Items,Household Durables & Services,88.076
2011,All Items,Health Care,84.119
2011,All Items,Transport,93.402
2011,All Items,Communication,103.159
2011,All Items,Recreation & Culture,92.588
2011,All Items,Education,77.339
2011,All Items,Miscellaneous Goods & Services,94.393
2012,All Items,Food,87.608
2012,All Items,Food Excl Food Serving Services,88.343
2012,All Items,Food Serving Services,87.223
2012,All Items,Clothing & Footwear,98.948
2012,All Items,Housing & Utilities,110.25
2012,All Items,Household Durables & Services,90.192
2012,All Items,Health Care,87.786
2012,All Items,Transport,100.017
2012,All Items,Communication,103.061
2012,All Items,Recreation & Culture,93.536
2012,All Items,Education,80.478
2012,All Items,Miscellaneous Goods & Services,95.396
2013,All Items,Food,89.456
2013,All Items,Food Excl Food Serving Services,90.388
2013,All Items,Food Serving Services,88.95
2013,All Items,Clothing & Footwear,99.267
2013,All Items,Housing & Utilities,113.388
2013,All Items,Household Durables & Services,94.608
2013,All Items,Health Care,91.117
2013,All Items,Transport,102.32
2013,All Items,Communication,101.619
2013,All Items,Recreation & Culture,94.593
2013,All Items,Education,83.568
2013,All Items,Miscellaneous Goods & Services,97.168
2014,All Items,Food,92.059
2014,All Items,Food Excl Food Serving Services,93.058
2014,All Items,Food Serving Services,91.512
2014,All Items,Clothing & Footwear,98.468
2014,All Items,Housing & Utilities,113.517
2014,All Items,Household Durables & Services,96.275
2014,All Items,Health Care,93.64
2014,All Items,Transport,101.073
2014,All Items,Communication,101.426
2014,All Items,Recreation & Culture,96.255
2014,All Items,Education,86.422
2014,All Items,Miscellaneous Goods & Services,98.327
2015,All Items,Food,93.833
2015,All Items,Food Excl Food Serving Services,94.198
2015,All Items,Food Serving Services,93.632
2015,All Items,Clothing & Footwear,98.528
2015,All Items,Housing & Utilities,109.499
2015,All Items,Household Durables & Services,95.689
2015,All Items,Health Care,93.56
2015,All Items,Transport,99.62
2015,All Items,Communication,101.766
2015,All Items,Recreation & Culture,96.573
2015,All Items,Education,89.395
2015,All Items,Miscellaneous Goods & Services,98.284
2016,All Items,Food,95.759
2016,All Items,Food Excl Food Serving Services,96.366
2016,All Items,Food Serving Services,95.427
2016,All Items,Clothing & Footwear,98.744
2016,All Items,Housing & Utilities,105.034
2016,All Items,Household Durables & Services,97.419
2016,All Items,Health Care,94.566
2016,All Items,Transport,97.228
2016,All Items,Communication,101.387
2016,All Items,Recreation & Culture,97.462
2016,All Items,Education,92.145
2016,All Items,Miscellaneous Goods & Services,98.53
2017,All Items,Food,97.104
2017,All Items,Food Excl Food Serving Services,97.608
2017,All Items,Food Serving Services,96.828
2017,All Items,Clothing & Footwear,99.345
2017,All Items,Housing & Utilities,102.372
2017,All Items,Household Durables & Services,98.45
2017,All Items,Health Care,96.924
2017,All Items,Transport,99.756
2017,All Items,Communication,101.951
2017,All Items,Recreation & Culture,97.781
2017,All Items,Education,94.924
2017,All Items,Miscellaneous Goods & Services,98.67
2018,All Items,Food,98.498
2018,All Items,Food Excl Food Serving Services,98.87
2018,All Items,Food Serving Services,98.294
2018,All Items,Clothing & Footwear,100.777
2018,All Items,Housing & Utilities,101.003
2018,All Items,Household Durables & Services,99.227
2018,All Items,Health Care,98.905
2018,All Items,Transport,99.235
2018,All Items,Communication,100.924
2018,All Items,Recreation & Culture,98.948
2018,All Items,Education,97.661
2018,All Items,Miscellaneous Goods & Services,99.635
2019,All Items,Food,100
2019,All Items,Food Excl Food Serving Services,100
2019,All Items,Food Serving Services,100
2019,All Items,Clothing & Footwear,100
2019,All Items,Housing & Utilities,100
2019,All Items,Household Durables & Services,100
2019,All Items,Health Care,100
2019,All Items,Transport,100
2019,All Items,Communication,100
2019,All Items,Recreation & Culture,100
2019,All Items,Education,100
2019,All Items,Miscellaneous Goods & Services,100
2020,All Items,Food,101.862
2020,All Items,Food Excl Food Serving Services,102.898
2020,All Items,Food Serving Services,101.367
2020,All Items,Clothing & Footwear,96.16
2020,All Items,Housing & Utilities,99.714
2020,All Items,Household Durables & Services,100.285
2020,All Items,Health Care,98.463
2020,All Items,Transport,99.27
2020,All Items,Communication,100.681
2020,All Items,Recreation & Culture,98.21
2020,All Items,Education,99.37
2020,All Items,Miscellaneous Goods & Services,98.823